School,State,School_Type,SubsidizedDL,UNSubsidizedDL
AVIATION INSTITUTE OF MAINTENANCE,VA,Proprietary,89968,137505
AVI CAREER TRAINING,VA,Proprietary,15959,23541
UNIVERSITY OF MANAGEMENT AND TECHNOLOGY THE,VA,Proprietary,35580,27380
DOMINION SCHOOL OF HAIR DESIGN,VA,Proprietary,17495,23250
COLUMBIA COLLEGE,VA,Proprietary,20105,14600
CAYCE/REILLY SCHOOL OF MASSOTHERAPY,VA,PrivateNonprofit,12249,21001
GLOBAL HEALTH COLLEGE,VA,Proprietary,222008,356307
BETHEL COLLEGE,VA,PrivateNonprofit,5147,6000
INSTITUTE OF ADVANCED MEDICAL ESTHETICS,VA,Proprietary,NA,NA
NORTHERN VIRGINIA SCHOOL OF THERAPEUTIC MASSAGE,VA,Proprietary,24936,70482
COSMOPOLITAN BEAUTY AND TECH SCHOOL,VA,Proprietary,26250,NA
TOMORROWS IMAGE BARBER ACADEMY OF VIRGINIA,VA,Proprietary,26250,41000
APPALACHIAN COLLEGE OF PHARMACY,VA,PrivateNonprofit,NA,NA
VIRGINIA TECH CARILION SCHOOL OF MEDICINE,VA,PrivateNonprofit,NA,NA
CHRYSM INSTITUTE OF ESTHETICS THE,VA,Proprietary,18541,35337
STANDARD HEALTHCARE SERVICES COLLEGE OF NURSING,VA,Proprietary,71149,60318
