Species	Infraorder	Family	Distribution	Body mass male (Kg)	Geographic range size (log km2)	Diet	Interaction	Fleshy fruits	Dry Fruits	Seeds	Flowers	Leaves	Gum	Bark	Nectar	Fungi	Vertebrates	Insects	Main References
Callicebus_dubius	Simiiformes	Pitheciidae	America	1.05	4.903185	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11"
Callicebus_hoffmannsi	Simiiformes	Pitheciidae	America	1.03	5.281021	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11"
Callicebus_lucifer	Simiiformes	Pitheciidae	America	1.05	6.15588601	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11"
Callicebus_lugens	Simiiformes	Pitheciidae	America	1.05	5.753633031	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11, 336"
Callicebus_medemi	Simiiformes	Pitheciidae	America	1.05	3.96806246	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11"
Callicebus_melanochir	Simiiformes	Pitheciidae	America	1.05	4.955803162	Frugivore	Mutualism	1	1	1	1	1	0	0	0	0	0	1	"10, 11, 205, 206"
Callicebus_modestus	Simiiformes	Pitheciidae	America	1.05	3.899964	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11, 284"
Callicebus_moloch	Simiiformes	Pitheciidae	America	1.017	6.164158	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11"
Callicebus_nigrifrons	Simiiformes	Pitheciidae	America	1.05	5.580685535	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11, 432"
Callicebus_oenanthe	Simiiformes	Pitheciidae	America	1.05	3.255272505	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11, 123"
Callicebus_olallae	Simiiformes	Pitheciidae	America	1.05	3.899964	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11, 284"
Callicebus_ornatus	Simiiformes	Pitheciidae	America	1.05	4.122739993	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11, 459"
Callicebus_pallescens	Simiiformes	Pitheciidae	America	1.05	5.442415688	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11"
Callicebus_personatus	Simiiformes	Pitheciidae	America	1.38	5.980755	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11, 238"
Callicebus_purinus	Simiiformes	Pitheciidae	America	1.05	4.964640379	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11"
