HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)
3698	Animalia	Chordata	Reptilia	Squamata	Agamidae	Agama	impalearis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3699	Animalia	Chordata	Reptilia	Squamata	Agamidae	Amphibolurus	nobbi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA
3700	Animalia	Chordata	Reptilia	Squamata	Agamidae	Calotes	versicolor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	582	captivity	tiny	acceptable	NA	NA	NA	NA	NA
3701	Animalia	Chordata	Reptilia	Squamata	Agamidae	Chlamydosaurus	kingii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.9	451	captivity	medium	acceptable	NA	NA	NA	NA	NA
3702	Animalia	Chordata	Reptilia	Squamata	Agamidae	Hydrosaurus	amboinensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.4	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3703	Animalia	Chordata	Reptilia	Squamata	Agamidae	Hydrosaurus	pustulatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.2	451	captivity	medium	acceptable	NA	NA	NA	NA	NA
3704	Animalia	Chordata	Reptilia	Squamata	Agamidae	Laudakia	stellio	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3705	Animalia	Chordata	Reptilia	Squamata	Agamidae	Leiolepis	belliana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.6	485	captivity	tiny	questionable	NA	NA	NA	NA	NA
3706	Animalia	Chordata	Reptilia	Squamata	Agamidae	Physignathus	cocincinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.3	451	captivity	medium	acceptable	NA	NA	NA	NA	NA
3707	Animalia	Chordata	Reptilia	Squamata	Agamidae	Physignathus	lesueurii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.9	451	captivity	medium	acceptable	NA	NA	NA	NA	NA
3708	Animalia	Chordata	Reptilia	Squamata	Agamidae	Pogona	barbata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.9	1	captivity	medium	acceptable	NA	NA	NA	NA	NA
3709	Animalia	Chordata	Reptilia	Squamata	Agamidae	Pogona	vitticeps	NA	NA	NA	NA	NA	NA	NA	NA	NA	500	NA	12	992	unknown	medium	questionable	NA	NA	NA	NA	NA
3710	Animalia	Chordata	Reptilia	Squamata	Agamidae	Uromastyx	acanthinura	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.4	582	captivity	medium	acceptable	NA	NA	NA	NA	NA
3711	Animalia	Chordata	Reptilia	Squamata	Agamidae	Uromastyx	aegyptia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.3	451	captivity	medium	acceptable	NA	NA	NA	NA	NA
3712	Animalia	Chordata	Reptilia	Squamata	Agamidae	Uromastyx	dispar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	website feedback	captivity	tiny	questionable	NA	NA	NA	NA	NA
3713	Animalia	Chordata	Reptilia	Squamata	Amphisbaenidae	Amphisbaena	alba	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.1	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3714	Animalia	Chordata	Reptilia	Squamata	Amphisbaenidae	Blanus	cinereus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3715	Animalia	Chordata	Reptilia	Squamata	Anguidae	Anguis	fragilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54	1	captivity	medium	acceptable	NA	NA	NA	NA	NA
3716	Animalia	Chordata	Reptilia	Squamata	Anguidae	Diploglossus	monotropis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.3	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3717	Animalia	Chordata	Reptilia	Squamata	Anguidae	Elgaria	kingii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.3	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3718	Animalia	Chordata	Reptilia	Squamata	Anguidae	Elgaria	multicarinata	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.5	NA	9.8	451	captivity	small	acceptable	NA	NA	0.0132	31.5	295.5
3719	Animalia	Chordata	Reptilia	Squamata	Anguidae	Gerrhonotus	liocephalus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	tiny	low	NA	NA	NA	NA	NA
3720	Animalia	Chordata	Reptilia	Squamata	Anguidae	Ophisaurus	ventralis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.8	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3721	Animalia	Chordata	Reptilia	Squamata	Anguidae	Pseudopus	apodus	730	730	42	NA	8	NA	NA	NA	NA	450	NA	54	448	unknown	medium	acceptable	NA	NA	NA	NA	NA
3722	Animalia	Chordata	Reptilia	Squamata	Atractaspididae	Atractaspis	bibronii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.9	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3723	Animalia	Chordata	Reptilia	Squamata	Boidae	Boa	constrictor	1095	1095	125	NA	35	NA	NA	NA	NA	3532	NA	40.4	485	captivity	large	acceptable	NA	NA	0.3589	3532	293
3724	Animalia	Chordata	Reptilia	Squamata	Boidae	Boa	dumerili	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3725	Animalia	Chordata	Reptilia	Squamata	Boidae	Boa	madagascariensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.4	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3726	Animalia	Chordata	Reptilia	Squamata	Boidae	Boa	manditra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.8	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3727	Animalia	Chordata	Reptilia	Squamata	Boidae	Candoia	aspera	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.9	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3728	Animalia	Chordata	Reptilia	Squamata	Boidae	Candoia	bibroni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.9	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3729	Animalia	Chordata	Reptilia	Squamata	Boidae	Candoia	carinata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.6	485	captivity	medium	acceptable	NA	NA	NA	NA	NA
3730	Animalia	Chordata	Reptilia	Squamata	Boidae	Charina	bottae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.5	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3731	Animalia	Chordata	Reptilia	Squamata	Boidae	Charina	trivirgata	NA	NA	130	NA	7	NA	NA	NA	NA	450	NA	31	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3732	Animalia	Chordata	Reptilia	Squamata	Boidae	Corallus	annulatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.3	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3733	Animalia	Chordata	Reptilia	Squamata	Boidae	Corallus	caninus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.6	451	captivity	medium	acceptable	NA	NA	NA	NA	NA
3734	Animalia	Chordata	Reptilia	Squamata	Boidae	Corallus	hortulanus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	451	captivity	medium	acceptable	NA	NA	NA	NA	NA
3735	Animalia	Chordata	Reptilia	Squamata	Boidae	Epicrates	angulifer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.6	485	captivity	medium	acceptable	NA	NA	NA	NA	NA
3736	Animalia	Chordata	Reptilia	Squamata	Boidae	Epicrates	cenchria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31	485	captivity	large	acceptable	NA	NA	NA	NA	NA
3737	Animalia	Chordata	Reptilia	Squamata	Boidae	Epicrates	chrysogaster	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.2	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3738	Animalia	Chordata	Reptilia	Squamata	Boidae	Epicrates	exsul	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.7	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3739	Animalia	Chordata	Reptilia	Squamata	Boidae	Epicrates	fordii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.4	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3740	Animalia	Chordata	Reptilia	Squamata	Boidae	Epicrates	inornatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.9	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3741	Animalia	Chordata	Reptilia	Squamata	Boidae	Epicrates	striatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.1	485	captivity	medium	acceptable	NA	NA	NA	NA	NA
3742	Animalia	Chordata	Reptilia	Squamata	Boidae	Epicrates	subflavus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.3	451	captivity	medium	acceptable	NA	NA	NA	NA	NA
3743	Animalia	Chordata	Reptilia	Squamata	Boidae	Eryx	jaculus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.7	485	captivity	tiny	acceptable	NA	NA	NA	NA	NA
3744	Animalia	Chordata	Reptilia	Squamata	Boidae	Eryx	johnii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.4	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3745	Animalia	Chordata	Reptilia	Squamata	Boidae	Eryx	tataricus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3746	Animalia	Chordata	Reptilia	Squamata	Boidae	Eunectes	deschauenseei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.2	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3747	Animalia	Chordata	Reptilia	Squamata	Boidae	Eunectes	murinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.8	451	captivity	medium	acceptable	NA	NA	NA	NA	NA
3748	Animalia	Chordata	Reptilia	Squamata	Boidae	Eunectes	notaeus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.6	451	captivity	medium	acceptable	NA	NA	NA	NA	NA
3749	Animalia	Chordata	Reptilia	Squamata	Boidae	Gongylophis	colubrinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.7	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3750	Animalia	Chordata	Reptilia	Squamata	Boidae	Gongylophis	conicus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.2	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3751	Animalia	Chordata	Reptilia	Squamata	Bolyeriidae	Casarea	dussumieri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.8	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3752	Animalia	Chordata	Reptilia	Squamata	Chamaeleonidae	Calumma	parsonii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3753	Animalia	Chordata	Reptilia	Squamata	Chamaeleonidae	Chamaeleo	chamaeleon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.6	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3754	Animalia	Chordata	Reptilia	Squamata	Chamaeleonidae	Chamaeleo	dilepis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3755	Animalia	Chordata	Reptilia	Squamata	Chamaeleonidae	Chamaeleo	jacksonii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.2	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3756	Animalia	Chordata	Reptilia	Squamata	Chamaeleonidae	Furcifer	labordi	60	60	260	NA	11	NA	NA	NA	NA	NA	NA	0.4	1077	wild	medium	acceptable	NA	NA	NA	NA	NA
3757	Animalia	Chordata	Reptilia	Squamata	Chamaeleonidae	Furcifer	pardalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.2	451	captivity	medium	acceptable	NA	NA	NA	NA	NA
3758	Animalia	Chordata	Reptilia	Squamata	Colubridae	Arizona	elegans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.1	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA
3759	Animalia	Chordata	Reptilia	Squamata	Colubridae	Bogertophis	subocularis	730	730	NA	NA	5	NA	NA	NA	NA	NA	NA	23.8	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3760	Animalia	Chordata	Reptilia	Squamata	Colubridae	Boiga	blandingii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.6	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3761	Animalia	Chordata	Reptilia	Squamata	Colubridae	Boiga	cynodon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.6	485	captivity	tiny	acceptable	NA	NA	NA	NA	NA
3762	Animalia	Chordata	Reptilia	Squamata	Colubridae	Boiga	dendrophila	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	451	captivity	medium	acceptable	NA	NA	NA	NA	NA
3763	Animalia	Chordata	Reptilia	Squamata	Colubridae	Boiga	irregularis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.1	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3764	Animalia	Chordata	Reptilia	Squamata	Colubridae	Boiga	trigonata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.2	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3765	Animalia	Chordata	Reptilia	Squamata	Colubridae	Cemophora	coccinea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.4	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3766	Animalia	Chordata	Reptilia	Squamata	Colubridae	Chilomeniscus	stramineus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3767	Animalia	Chordata	Reptilia	Squamata	Colubridae	Clelia	clelia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.5	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3768	Animalia	Chordata	Reptilia	Squamata	Colubridae	Clonophis	kirtlandii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.4	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3769	Animalia	Chordata	Reptilia	Squamata	Colubridae	Coluber	constrictor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	528	unknown	medium	acceptable	NA	NA	NA	NA	NA
3770	Animalia	Chordata	Reptilia	Squamata	Colubridae	Coluber	ravergieri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.8	582	captivity	tiny	acceptable	NA	NA	NA	NA	NA
3771	Animalia	Chordata	Reptilia	Squamata	Colubridae	Dasypeltis	atra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA
3772	Animalia	Chordata	Reptilia	Squamata	Colubridae	Dasypeltis	medici	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.6	485	captivity	small	questionable	NA	NA	NA	NA	NA
3773	Animalia	Chordata	Reptilia	Squamata	Colubridae	Dasypeltis	scabra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.1	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3774	Animalia	Chordata	Reptilia	Squamata	Colubridae	Dinodon	rufozonatum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.7	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3775	Animalia	Chordata	Reptilia	Squamata	Colubridae	Drymarchon	corais	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	25.9	485	captivity	medium	acceptable	NA	NA	NA	NA	NA
3776	Animalia	Chordata	Reptilia	Squamata	Colubridae	Elaphe	bairdi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.3	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3777	Animalia	Chordata	Reptilia	Squamata	Colubridae	Elaphe	climacophora	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.1	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3778	Animalia	Chordata	Reptilia	Squamata	Colubridae	Elaphe	flavirufa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.3	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3779	Animalia	Chordata	Reptilia	Squamata	Colubridae	Elaphe	guttata	600	600	NA	NA	12	NA	NA	NA	NA	900	NA	32.3	451	captivity	large	high	NA	NA	NA	NA	NA
3780	Animalia	Chordata	Reptilia	Squamata	Colubridae	Elaphe	helena	730	730	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	759	unknown	medium	acceptable	NA	NA	NA	NA	NA
3781	Animalia	Chordata	Reptilia	Squamata	Colubridae	Elaphe	moellendorffi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.1	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3782	Animalia	Chordata	Reptilia	Squamata	Colubridae	Elaphe	obsoleta	1460	1460	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.9	451	captivity	large	acceptable	NA	NA	NA	NA	NA
3783	Animalia	Chordata	Reptilia	Squamata	Colubridae	Elaphe	quadrivirgata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.8	485	captivity	tiny	acceptable	NA	NA	NA	NA	NA
3784	Animalia	Chordata	Reptilia	Squamata	Colubridae	Elaphe	schrenckii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.7	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3785	Animalia	Chordata	Reptilia	Squamata	Colubridae	Elaphe	situla	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3786	Animalia	Chordata	Reptilia	Squamata	Colubridae	Elaphe	taeniura	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.6	485	captivity	medium	acceptable	NA	NA	NA	NA	NA
3787	Animalia	Chordata	Reptilia	Squamata	Colubridae	Elaphe	vulpina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	451	captivity	medium	acceptable	NA	NA	NA	NA	NA
3788	Animalia	Chordata	Reptilia	Squamata	Colubridae	Enhydris	chinensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.2	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3789	Animalia	Chordata	Reptilia	Squamata	Colubridae	Erpeton	tentaculatum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.6	451	captivity	medium	acceptable	NA	NA	NA	NA	NA
3790	Animalia	Chordata	Reptilia	Squamata	Colubridae	Farancia	abacura	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	528	unknown	medium	acceptable	NA	NA	NA	NA	NA
3791	Animalia	Chordata	Reptilia	Squamata	Colubridae	Gonyosoma	oxycephalum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.1	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3792	Animalia	Chordata	Reptilia	Squamata	Colubridae	Heterodon	nasicus	730	730	56	NA	13	NA	NA	NA	NA	NA	NA	19.8	485	captivity	medium	acceptable	NA	NA	NA	NA	NA
3793	Animalia	Chordata	Reptilia	Squamata	Colubridae	Heterodon	platirhinos	730	730	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.1	528	unknown	medium	questionable	NA	NA	NA	NA	NA
3794	Animalia	Chordata	Reptilia	Squamata	Colubridae	Hydrodynastes	gigas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.9	485	captivity	medium	acceptable	NA	NA	NA	NA	NA
3795	Animalia	Chordata	Reptilia	Squamata	Colubridae	Hypsiglena	torquata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.2	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA
3796	Animalia	Chordata	Reptilia	Squamata	Colubridae	Lampropeltis	alterna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.7	451	captivity	medium	acceptable	NA	NA	NA	NA	NA
3797	Animalia	Chordata	Reptilia	Squamata	Colubridae	Lampropeltis	calligaster	1095	1095	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.8	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3798	Animalia	Chordata	Reptilia	Squamata	Colubridae	Lampropeltis	getula	1095	1095	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.3	485	captivity	large	acceptable	NA	NA	NA	NA	NA
3799	Animalia	Chordata	Reptilia	Squamata	Colubridae	Lampropeltis	mexicana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.6	451	captivity	medium	acceptable	NA	NA	NA	NA	NA
3800	Animalia	Chordata	Reptilia	Squamata	Colubridae	Lampropeltis	pyromelana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.4	485	captivity	medium	acceptable	NA	NA	NA	NA	NA
3801	Animalia	Chordata	Reptilia	Squamata	Colubridae	Lampropeltis	triangulum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.6	451	captivity	large	acceptable	NA	NA	NA	NA	NA
3802	Animalia	Chordata	Reptilia	Squamata	Colubridae	Lampropeltis	zonata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.8	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3803	Animalia	Chordata	Reptilia	Squamata	Colubridae	Lamprophis	fuliginosus	182	182	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	759	unknown	medium	acceptable	NA	NA	NA	NA	NA
3804	Animalia	Chordata	Reptilia	Squamata	Colubridae	Leioheterodon	madagascariensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.2	451	captivity	medium	acceptable	NA	NA	NA	NA	NA
3805	Animalia	Chordata	Reptilia	Squamata	Colubridae	Leptophis	mexicanus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.7	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3806	Animalia	Chordata	Reptilia	Squamata	Colubridae	Macroprotodon	cucullatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.9	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3807	Animalia	Chordata	Reptilia	Squamata	Colubridae	Masticophis	flagellum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.2	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3808	Animalia	Chordata	Reptilia	Squamata	Colubridae	Mehelya	capensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.9	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3809	Animalia	Chordata	Reptilia	Squamata	Colubridae	Natrix	natrix	1460	1460	NA	NA	NA	NA	NA	NA	NA	96.25	NA	20	451	captivity	medium	acceptable	NA	NA	0.0295	94.2	290.25
3810	Animalia	Chordata	Reptilia	Squamata	Colubridae	Nerodia	erythrogaster	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.8	451	captivity	medium	acceptable	NA	NA	NA	NA	NA
3811	Animalia	Chordata	Reptilia	Squamata	Colubridae	Nerodia	sipedon	730	730	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.6	451	captivity	medium	acceptable	NA	NA	NA	NA	NA
3812	Animalia	Chordata	Reptilia	Squamata	Colubridae	Nerodia	taxispilota	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.1	451	captivity	small	questionable	NA	NA	NA	NA	NA
3813	Animalia	Chordata	Reptilia	Squamata	Colubridae	Opheodrys	aestivus	730	730	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.2	451	captivity	medium	acceptable	NA	NA	NA	NA	NA
3814	Animalia	Chordata	Reptilia	Squamata	Colubridae	Opheodrys	vernalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.1	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA
3815	Animalia	Chordata	Reptilia	Squamata	Colubridae	Oxybelis	aeneus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.2	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA
3816	Animalia	Chordata	Reptilia	Squamata	Colubridae	Pituophis	catenifer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.8	485	captivity	medium	acceptable	NA	NA	NA	NA	NA
3817	Animalia	Chordata	Reptilia	Squamata	Colubridae	Pituophis	melanoleucus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.4	485	captivity	medium	acceptable	NA	NA	NA	NA	NA
3818	Animalia	Chordata	Reptilia	Squamata	Colubridae	Psammophis	subtaeniatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3819	Animalia	Chordata	Reptilia	Squamata	Colubridae	Pseudaspis	cana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.3	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3820	Animalia	Chordata	Reptilia	Squamata	Colubridae	Ptyas	mucosus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.3	1	wild	medium	acceptable	NA	NA	NA	NA	NA
3821	Animalia	Chordata	Reptilia	Squamata	Colubridae	Regina	septemvittata	1095	1095	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.3	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3822	Animalia	Chordata	Reptilia	Squamata	Colubridae	Rhamphiophis	oxyrhynchus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.3	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3823	Animalia	Chordata	Reptilia	Squamata	Colubridae	Rhinocheilus	lecontei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.8	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3824	Animalia	Chordata	Reptilia	Squamata	Colubridae	Salvadora	hexalepis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.3	485	captivity	small	acceptable	NA	NA	NA	NA	NA
3825	Animalia	Chordata	Reptilia	Squamata	Colubridae	Senticolis	triaspis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.8	451	captivity	small	acceptable	NA	NA	NA	NA	NA
3826	Animalia	Chordata	Reptilia	Squamata	Colubridae	Spalerosophis	diadema	547	547	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	485	captivity	small	acceptable	NA	NA	NA	NA	NA
