HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)
85	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Tenualosa	toli	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA
86	Animalia	Chordata	Actinopterygii	Clupeiformes	Engraulidae	Anchoa	compressa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	1	wild	medium	acceptable	NA	NA	NA	NA	NA
87	Animalia	Chordata	Actinopterygii	Clupeiformes	Engraulidae	Cetengraulis	mysticetus	365	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA
88	Animalia	Chordata	Actinopterygii	Clupeiformes	Engraulidae	Engraulis	australis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	454	wild	medium	acceptable	NA	NA	NA	NA	NA
89	Animalia	Chordata	Actinopterygii	Clupeiformes	Engraulidae	Engraulis	encrasicolus	365	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA
90	Animalia	Chordata	Actinopterygii	Clupeiformes	Engraulidae	Engraulis	japonicus	365	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA
91	Animalia	Chordata	Actinopterygii	Clupeiformes	Engraulidae	Engraulis	mordax	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	454	wild	medium	acceptable	NA	NA	NA	NA	NA
92	Animalia	Chordata	Actinopterygii	Clupeiformes	Engraulidae	Engraulis	ringens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA
93	Animalia	Chordata	Actinopterygii	Cypriniformes	Balitoridae	Barbatula	barbatula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	454	wild	medium	acceptable	NA	NA	NA	NA	NA
94	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Carpiodes	carpio	NA	NA	NA	NA	NA	NA	NA	NA	NA	2524.5	NA	10	454	wild	medium	acceptable	NA	NA	NA	NA	NA
95	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Carpiodes	cyprinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	1617	NA	11	454	wild	medium	acceptable	NA	NA	NA	NA	NA
96	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Carpiodes	velifer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	454	wild	medium	acceptable	NA	NA	NA	NA	NA
97	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Catostomus	catostomus	NA	NA	NA	NA	NA	NA	NA	NA	NA	1800	NA	20	454	wild	medium	acceptable	NA	NA	NA	NA	NA
98	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Catostomus	commersonii	NA	NA	NA	NA	NA	NA	NA	NA	NA	1617	NA	12	454	wild	medium	acceptable	NA	NA	NA	NA	NA
99	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Catostomus	macrocheilus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	454	wild	medium	acceptable	NA	NA	NA	NA	NA
100	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Catostomus	microps	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	454	wild	medium	acceptable	NA	NA	NA	NA	NA
101	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Catostomus	occidentalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	1	wild	medium	acceptable	NA	NA	NA	NA	NA
102	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Catostomus	platyrhynchus	1277	1003	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	454	wild	medium	acceptable	NA	NA	NA	NA	NA
103	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Catostomus	rimiculus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	454	wild	medium	acceptable	NA	NA	NA	NA	NA
104	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Catostomus	tahoensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	454	wild	medium	acceptable	NA	NA	NA	NA	NA
105	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Chasmistes	cujus	5657	5657	NA	NA	NA	NA	NA	NA	NA	1496	NA	41	454	wild	medium	acceptable	NA	NA	NA	NA	NA
106	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Chasmistes	liorus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	454	wild	medium	acceptable	NA	NA	NA	NA	NA
107	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Cycleptus	elongatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	454	wild	medium	acceptable	NA	NA	NA	NA	NA
108	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Cycleptus	meridionalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	454	wild	medium	acceptable	NA	NA	NA	NA	NA
109	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Deltistes	luxatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	454	wild	medium	acceptable	NA	NA	NA	NA	NA
110	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Erimyzon	oblongus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	454	wild	medium	acceptable	NA	NA	NA	NA	NA
111	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Hypentelium	nigricans	1000	700	NA	NA	NA	NA	NA	NA	NA	700	NA	11	454	wild	medium	acceptable	NA	NA	NA	NA	NA
112	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Hypentelium	roanokense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	454	wild	medium	acceptable	NA	NA	NA	NA	NA
113	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Ictiobus	bubalus	NA	NA	NA	NA	NA	NA	NA	NA	NA	20515	NA	15	454	wild	medium	acceptable	NA	NA	NA	NA	NA
