Species Name ,Order,Brain Mass (g),Body Mass (g),EQ,Independent contrast derived EQ,PGLS-ML dervived EQ,Reference,Notes
Nycticebus pygmaeus,Primates,7.80,480.00,1.39,0.158891564,1.500167977,Sherwood/this study; Silva & Downing 1995,
Genetta tigrina,Carnivora,15.35,1525.00,1.16,0.150776816,1.475490793,Crile & Quiring 1940; Silva & Downing 1995,
Loris tardigradus,Primates,6.00,322.00,1.44,0.157240224,1.466316622,Stephan 1981; Sherwood/this study; Silva & Downing 1995,
Tscherskia triton,Rodentia,1.29,25.00,2.09,0.169573906,1.46088401,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sciurus niger,Rodentia,7.91,516.32,1.34,0.15391727,1.456492743,Count 1947; Mace 1981; Silva & Downing 1995; Warncke 1908,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Procavia capensis,Hyracoidea,19.47,2321.67,1.07,0.146670015,1.454124873,Warncke 1908; Welker & Carlson 1976,
Sus scrofa,Cetartiodactyla,169.80,86772.73,0.63,0.130222886,1.444434217,Warncke 1908; Silva & Downing 1995,
Ichneumia albicauda,Carnivora,28.30,4400.00,0.97,0.142441735,1.44047213,Crile & Quiring 1940; Silva & Downing 1995,
Callosciurus nigrovittatus,Rodentia,4.44,202.00,1.51,0.156162127,1.435364427,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sciurus vulgaris,Rodentia,5.93,327.40,1.41,0.153653752,1.433610522,Count 1947; Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Funisciurus pyrropus,Rodentia,4.38,200.00,1.50,0.155022109,1.424446503,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Panthera tigris,Carnivora,269.73,195000.00,0.54,0.124105846,1.411574756,Crile & Quiring 1940; Sherwood/this study; Silva & Downing 1995,
Ammospermophilus nelsoni,Rodentia,2.31,70.00,1.73,0.158571296,1.41040288,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Tamandua tetradactyla,Xenarthra,27.50,4361.00,0.95,0.139194903,1.4072494,Crile & Quiring 1940; Sherwood/this study; Silva & Downing 1995,
Heliosciurus ruwenzorii,Rodentia,5.40,291.00,1.40,0.150850496,1.402322805,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Dasyprocta leporina,Rodentia,21.26,2873.00,1.00,0.140030597,1.397500317,Count 1947; Mace 1981; Spitzka 1903; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Heliosciurus rufobrachium,Rodentia,5.75,326.00,1.37,0.149519211,1.394849384,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sciurus carolinensis,Rodentia,7.41,503.17,1.28,0.146523567,1.385418941,Count 1947; Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Moschiola meminna,Cetartiodactyla,16.93,1997.00,1.04,0.14023602,1.383859084,Warncke 1908,
Zaglossus bruijni,Monotremata,37.35,7500.00,0.86,0.134263782,1.380404435,Macrini 2006,
Atherurus africanus,Rodentia,21.89,3152.50,0.96,0.13594544,1.360640909,Mace 1981; Warncke 1908; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
