Species Name ,Order,Brain Mass (g),Body Mass (g),EQ,Independent contrast derived EQ,PGLS-ML dervived EQ,Reference,Notes
Oryzorictes hova,Afrosoricida,0.58,44.20,0.61,0.053215237,0.466621411,Stephan 1981,
Didelphis virginiana,Didelphimorphia,6.96,2797.00,0.33,0.04663753,0.465054209,Ashwell 2007; Silva & Downing 1995,
Planigale gilesi,Dasyuromorphia,0.18,6.10,0.82,0.05638129,0.46494417,Ashwell 2007; Silva & Downing 1995,
Atelerix algirus,Eulipotyphla,3.20,790.00,0.39,0.047601073,0.456419041,Stephan 1981; Silva & Downing 1995,
Murexia longicaudata,Dasyuromorphia,1.74,296.50,0.44,0.048049726,0.446934879,Ashwell 2007; Silva & Downing 1995,
Dicrostonyx groenlandicus,Rodentia,0.72,68.40,0.55,0.050151226,0.445747448,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Neomys fodiens,Eulipotyphla,0.31,16.35,0.68,0.052413069,0.445634921,Mace 1981; Silva & Downing 1995; Stephan 1981,
Sorex fumeus,Eulipotyphla,0.21,8.90,0.73,0.05296923,0.441952221,Mace 1981,
Molossus molossus,Chiroptera,0.26,13.00,0.69,0.051635044,0.435910537,Pirlot & Stephan 1970,
Setifer setosus,Afrosoricida,1.51,248.00,0.44,0.046660286,0.431614443,Stephan 1981; Silva & Downing 1995,
Bathyergus suillus,Rodentia,3.75,1175.00,0.34,0.043421701,0.42150097,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sorex minutus,Eulipotyphla,0.13,4.60,0.74,0.049729331,0.406516974,Mace 1981; Silva & Downing 1995; Stephan 1981,
Blarina brevicauda,Eulipotyphla,0.29,17.70,0.60,0.047200368,0.402302869,Mace 1981; Crile & Quiring 1940; Silva & Downing 1995,
Notiosorex crawfordi,Eulipotyphla,0.15,6.00,0.70,0.048522959,0.399936037,Mace 1981,
Mormopterus jugularis,Chiroptera,0.22,11.50,0.64,0.047205413,0.3970032,Pirlot & Stephan 1970,
Hemicentetes semispinosus,Afrosoricida,0.83,110.00,0.44,0.042837959,0.386395902,Stephan 1981; Silva & Downing 1995,
Myotis nigricans,Chiroptera,0.12,4.50,0.70,0.046545062,0.380227714,Pirlot & Stephan 1970,
Sorex hoyi,Eulipotyphla,0.09,3.05,0.73,0.04635407,0.374129314,Mace 1981; Silva & Downing 1995; Stolzenburg 1989,
Tenrec ecaudatus,Afrosoricida,2.84,907.00,0.31,0.038652031,0.372202016,Silva & Downing 1995; Stephan 1981; Warncke 1908,
Crocidura russula,Eulipotyphla,0.19,10.45,0.59,0.043307257,0.363139806,Mace 1981; Stephan 1981; Silva & Downing 1995,
Crocidura fuscomurina,Eulipotyphla,0.13,5.60,0.64,0.043924433,0.361260573,Mace 1981,
Suncus murinus,Eulipotyphla,0.39,35.00,0.49,0.041459793,0.360922379,Mace 1981,
Rhynchonycteris naso,Chiroptera,0.11,4.30,0.66,0.043907989,0.358180256,Pirlot & Stephan 1970,
Sorex ornatus,Eulipotyphla,0.12,5.00,0.65,0.043551251,0.356935114,Mace 1981,
Heterocephalus glaber,Rodentia,0.52,60.80,0.43,0.039014823,0.345502526,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Cryptotis parva,Eulipotyphla,0.12,5.30,0.62,0.041979052,0.344671802,Mace 1981,
Suncus etruscus,Eulipotyphla,0.07,2.24,0.69,0.042768233,0.341900368,Mace 1981; Silva & Downing 1995; Stolzenburg 1989,
Echinops telfairi,Afrosoricida,0.62,87.50,0.39,0.036970393,0.3311135,Stephan 1981; Silva & Downing 1995,
Otomys angoniensis,Rodentia,0.42,95.00,0.25,0.023777991,0.213503578,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Apodemus agrarius,Rodentia,0.20,33.30,0.26,0.021940026,0.190701226,Count 1947; Silva & Downing 1995,
